file,makespan,status,solve_time,total_time
j904_10.data,N/A,error,0.00,0.00
j904_2.data,N/A,error,0.00,0.00
j904_3.data,N/A,error,0.00,0.00
j904_4.data,N/A,error,0.00,0.00
j904_5.data,N/A,error,0.00,0.00
j904_6.data,N/A,error,0.00,0.00
j904_7.data,N/A,error,0.00,0.00
j904_8.data,N/A,error,0.00,0.00
j904_9.data,N/A,error,0.00,0.00
j905_1.data,N/A,error,0.00,0.00
j905_10.data,N/A,error,0.00,0.00
j905_2.data,N/A,error,0.00,0.00
j905_3.data,N/A,error,0.00,0.00
j905_4.data,N/A,error,0.00,0.00
j905_5.data,N/A,error,0.00,0.00
j905_6.data,N/A,error,0.00,0.00
j905_7.data,N/A,error,0.00,0.00
j905_8.data,N/A,error,0.00,0.00
j905_9.data,N/A,error,0.00,0.00
j906_1.data,N/A,error,0.00,0.00
j906_10.data,N/A,error,0.00,0.00
j906_2.data,N/A,error,0.00,0.00
j906_3.data,N/A,error,0.00,0.00
j906_4.data,N/A,error,0.00,0.00
j906_5.data,N/A,error,0.00,0.00
j906_6.data,N/A,error,0.00,0.00
j906_7.data,N/A,error,0.00,0.00
j906_8.data,N/A,error,0.00,0.00
j906_9.data,N/A,error,0.00,0.00
j907_1.data,N/A,error,0.00,0.00
j907_10.data,N/A,error,0.00,0.00
j907_2.data,N/A,error,0.00,0.00
j907_3.data,N/A,error,0.00,0.00
j907_4.data,N/A,error,0.00,0.00
j907_5.data,N/A,error,0.00,0.00
j907_6.data,N/A,error,0.00,0.00
j907_7.data,N/A,error,0.00,0.00
j907_8.data,N/A,error,0.00,0.00
j907_9.data,N/A,error,0.00,0.00
j908_1.data,N/A,error,0.00,0.00
j908_10.data,N/A,error,0.00,0.00
j908_2.data,N/A,error,0.00,0.00
j908_3.data,N/A,error,0.00,0.00
j908_4.data,N/A,error,0.00,0.00
j908_5.data,N/A,error,0.00,0.00
j908_6.data,N/A,error,0.00,0.00
j908_7.data,N/A,error,0.00,0.00
j908_8.data,N/A,error,0.00,0.00
j908_9.data,N/A,error,0.00,0.00
j909_1.data,N/A,error,0.00,0.00
j909_10.data,N/A,error,0.00,0.00
j909_2.data,N/A,error,0.00,0.00
j909_3.data,N/A,error,0.00,0.00
j909_4.data,N/A,error,0.00,0.00
j909_5.data,N/A,error,0.00,0.00
j909_6.data,N/A,error,0.00,0.00
j909_7.data,N/A,error,0.00,0.00
j909_8.data,N/A,error,0.00,0.00
j909_9.data,N/A,error,0.00,0.00
